City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,thompson,55.7435,-97.8558,-23.91,84,40,1.54,CA,1667886674
115,xochistlahuaca,16.7833,-98.25,23.2,98,85,0.75,MX,1667886675
116,pevek,69.7008,170.3133,-18.12,100,20,1.39,RU,1667886675
117,zhenhai,24.2582,118.0905,23.38,68,18,9.86,CN,1667886675
118,plettenberg bay,-34.0527,23.3716,18.69,65,1,1.92,ZA,1667886676
119,vuktyl,63.8567,57.3094,-1.61,97,100,3.95,RU,1667886676
120,komsomolskiy,40.4272,71.7189,10.4,62,40,5.14,UZ,1667886676
121,fortuna,40.5982,-124.1573,7.19,97,100,4.12,US,1667886588
122,salekhard,66.53,66.6019,-8.39,93,96,0.98,RU,1667886677
123,kefamenanu,-9.4467,124.4781,31.98,47,76,2.72,ID,1667886677
124,florianopolis,-27.6146,-48.5012,16.34,79,40,4.12,BR,1667886244
125,gataia,45.4311,21.43,10.82,81,100,0.99,RO,1667886678
126,constantine,36.365,6.6147,8.67,57,0,1.03,DZ,1667886678
127,haines junction,60.7522,-137.5108,-20.03,77,97,1.03,CA,1667886678
128,provideniya,64.3833,-173.3,-1.76,95,100,3.36,RU,1667886679
129,porbandar,21.6422,69.6093,28.99,54,1,3.09,IN,1667886679
130,pandan,14.0453,124.1694,28.59,79,100,3.52,PH,1667886680
131,cockburn town,21.4612,-71.1419,26.66,74,15,3.75,TC,1667886680
132,wewak,-3.5534,143.6268,27.52,73,100,2.0,PG,1667886680
133,bluff,-46.6,168.3333,14.65,75,45,7.31,NZ,1667886681
134,padang,-0.9492,100.3543,30.03,73,100,2.74,ID,1667886498
135,sorland,67.667,12.6934,5.92,69,7,8.63,NO,1667886682
136,lipin bor,60.2622,37.9763,1.47,92,100,5.96,RU,1667886682
137,areka,7.0667,37.7,19.3,56,100,3.3,ET,1667886682
138,akdepe,42.0551,59.3788,2.05,54,91,3.48,TM,1667886683
139,axim,4.8699,-2.2405,24.8,87,81,1.96,GH,1667886391
140,north las vegas,36.1989,-115.1175,19.68,43,20,9.77,US,1667886533
141,sechura,-5.5569,-80.8222,16.86,87,9,3.3,PE,1667886683
142,upernavik,72.7868,-56.1549,-15.85,84,52,3.24,GL,1667886684
143,kiruna,67.8557,20.2251,-3.49,86,75,3.09,SE,1667886684
144,pucallpa,-8.3791,-74.5539,24.21,62,25,1.07,PE,1667886684
145,shahreza,32.0339,51.8794,9.5,40,3,2.91,IR,1667886685
146,challapata,-18.9,-66.7667,6.45,67,1,2.0,BO,1667886685
147,banda aceh,5.5577,95.3222,28.75,70,99,3.66,ID,1667886686
148,baculin,7.4525,126.5842,29.55,75,66,3.14,PH,1667886686
149,mubi,10.2676,13.2644,22.45,39,42,0.88,NG,1667886687
150,clyde river,70.4692,-68.5914,-14.87,72,40,1.54,CA,1667886687
151,fairbanks,64.8378,-147.7164,-7.02,81,75,0.0,US,1667886687
152,ambilobe,-13.2,49.05,31.38,35,98,1.9,MG,1667886688
153,palasa,18.7667,84.4167,27.95,59,26,2.6,IN,1667886688
154,hasaki,35.7333,140.8333,20.22,48,0,3.15,JP,1667886688
155,tuscaloosa,33.2098,-87.5692,21.23,92,0,1.54,US,1667886689
156,charters towers,-20.1,146.2667,33.11,22,12,2.81,AU,1667886689
157,mataura,-46.1927,168.8643,17.7,62,77,2.35,NZ,1667886689
158,langres,47.8333,5.3333,7.11,78,100,5.33,FR,1667886690
